Series	S	Years	Season	Episode	Name	Date	Holiday	link
Friends	10	1994–2004	4	10	The One with the Girl from Poughkeepsie	18-Dec-1997	Christmas	https://www.imdb.com/title/tt0583611/?ref_=ttep_ep10
Friends	10	1994–2004	5	8	The One with All the Thanksgivings	19-Nov-1998	Thanksgiving	https://www.imdb.com/title/tt0583652/?ref_=ttep_ep8
Friends	10	1994–2004	5	10	The One with the Inappropriate Sister	17-Dec-1998	Christmas	https://www.imdb.com/title/tt0583617/?ref_=ttep_ep10
Friends	10	1994–2004	5	14	The One Where Everybody Finds Out	11-Feb-1999	St. Valentine's Day	https://www.imdb.com/title/tt0583452/?ref_=ttep_ep14
Friends	10	1994–2004	6	9	The One Where Ross Got High	25-Nov-1999	Thanksgiving	https://www.imdb.com/title/tt0583482/?ref_=ttep_ep9
Friends	10	1994–2004	6	10	The One with the Routine	16-Dec-1999	Christmas	https://www.imdb.com/title/tt0583641/?ref_=ttep_ep10
Friends	10	1994–2004	6	17	The One With Unagi	24-Feb-2000	St. Valentine's Day	https://www.imdb.com/title/tt0583570/?ref_=ttep_ep17
Friends	10	1994–2004	7	8	The One Where Chandler Doesn't Like Dogs	23-Nov-2000	Thanksgiving	https://www.imdb.com/title/tt0583431/?ref_=ttep_ep8
Friends	10	1994–2004	7	10	The One with the Holiday Armadillo	14-Dec-2000	Christmas	https://www.imdb.com/title/tt0583613/?ref_=ttep_ep10
Friends	10	1994–2004	8	9	The One with the Rumor	22-Nov-2001	Thanksgiving	https://www.imdb.com/title/tt0583642/?ref_=ttep_ep9
Friends	10	1994–2004	8	11	The One with Ross's Step Forward	13-Dec-2001	Christmas	https://www.imdb.com/title/tt0583594/?ref_=ttep_ep11
Friends	10	1994–2004	8	15	The One With The Birthing Video	7-Feb-2002	St. Valentine's Day	https://www.imdb.com/title/tt0583578/?ref_=ttep_ep15
Friends	10	1994–2004	9	8	The One with Rachel's Other Sister	21-Nov-2002	Thanksgiving	https://www.imdb.com/title/tt0583553/?ref_=ttep_ep8
Friends	10	1994–2004	9	10	The One with Christmas in Tulsa	12-Dec-2002	Christmas	https://www.imdb.com/title/tt0583518/?ref_=ttep_ep10
Friends	10	1994–2004	10	8	The One with the Late Thanksgiving	20-Nov-2003	Thanksgiving	https://www.imdb.com/title/tt0583623/?ref_=ttep_ep8
Friends	10	1994–2004	10	12	The One with Phoebe's Wedding	12-Feb-2004	St. Valentine's Day	https://www.imdb.com/title/tt0583542/?ref_=ttep_ep12
Beverly Hills, 90210	10	1990–2000	2	13	Halloween	31-Oct-1991	Halloween	https://www.imdb.com/title/tt0522817/?ref_=ttep_ep13
Beverly Hills, 90210	10	1990–2000	2	18	A Walsh Family Christmas	19-Dec-1991	Christmas	https://www.imdb.com/title/tt0522728/?ref_=ttep_ep18
Beverly Hills, 90210	10	1990–2000	2	22	Baby Makes Five	13-Feb-1992	St. Valentine's Day	https://www.imdb.com/title/tt0522746/?ref_=ttep_ep22
Beverly Hills, 90210	10	1990–2000	3	15	The Kindness of Strangers	25-Nov-1992	Thanksgiving	https://www.imdb.com/title/tt0522955/?ref_=ttep_ep15
Beverly Hills, 90210	10	1990–2000	3	16	It's a Totally Happening Life	16-Dec-1992	Christmas	https://www.imdb.com/title/tt0522845/?ref_=ttep_ep16
Beverly Hills, 90210	10	1990–2000	4	12	Radar Love	24-Nov-1993	Thanksgiving	https://www.imdb.com/title/tt0522892/?ref_=ttep_ep12
Beverly Hills, 90210	10	1990–2000	4	15	Somewhere in the World It's Christmas	22-Dec-1993	Christmas	https://www.imdb.com/title/tt0522919/?ref_=ttep_ep15
Beverly Hills, 90210	10	1990–2000	5	8	Things That Go Bang in the Night	26-Oct-1994	Halloween	https://www.imdb.com/title/tt0522977/?ref_=ttep_ep8
Beverly Hills, 90210	10	1990–2000	5	15	Christmas Comes This Time Each Year	21-Dec-1994	Christmas	https://www.imdb.com/title/tt0522763/?ref_=ttep_ep15
Beverly Hills, 90210	10	1990–2000	5	20	You Gotta Have Heart	8-Feb-1995	St. Valentine's Day	https://www.imdb.com/title/tt0523004/?ref_=ttep_ep20
Beverly Hills, 90210	10	1990–2000	6	12	Breast Side Up	22-Nov-1995	Thanksgiving	https://www.imdb.com/title/tt0522755/?ref_=ttep_ep12
Beverly Hills, 90210	10	1990–2000	6	15	Angels We Have Heard on High	20-Dec-1995	Christmas	https://www.imdb.com/title/tt0522741/?ref_=ttep_ep15
Beverly Hills, 90210	10	1990–2000	6	16	Turn Back the Clock	3-Jan-1996	New Year	https://www.imdb.com/title/tt0522984/?ref_=ttep_ep16
Beverly Hills, 90210	10	1990–2000	6	21	Bleeding Hearts	14-Feb-1996	St. Valentine's Day	https://www.imdb.com/title/tt0522751/?ref_=ttep_ep21
Beverly Hills, 90210	10	1990–2000	7	7	Fearless	30-Oct-1996	Halloween	https://www.imdb.com/title/tt0522801/?ref_=ttep_ep7
Beverly Hills, 90210	10	1990–2000	7	13	Gift Wrapped	18-Dec-1996	Christmas	https://www.imdb.com/title/tt0522811/?ref_=ttep_ep13
Beverly Hills, 90210	10	1990–2000	7	19	My Funny Valentine	12-Feb-1997	St. Valentine's Day	https://www.imdb.com/title/tt0522872/?ref_=ttep_ep19
Beverly Hills, 90210	10	1990–2000	8	14	Santa Knows	17-Dec-1997	Christmas	https://www.imdb.com/title/tt0522903/?ref_=ttep_ep14
Beverly Hills, 90210	10	1990–2000	8	20	Cupid's Arrow	11-Feb-1998	St. Valentine's Day	https://www.imdb.com/title/tt0522776/?ref_=ttep_ep20
Beverly Hills, 90210	10	1990–2000	9	7	You Say Goodbye, I Say Hello	18-Nov-1998	Thanksgiving	https://www.imdb.com/title/tt0523005/?ref_=ttep_ep7
Beverly Hills, 90210	10	1990–2000	9	15	Beheading St. Valentine	10-Feb-1999	St. Valentine's Day	https://www.imdb.com/title/tt0522750/?ref_=ttep_ep15
Beverly Hills, 90210	10	1990–2000	10	10	What's in a Name	17-Nov-1999	Thanksgiving	https://www.imdb.com/title/tt0522996/?ref_=ttep_ep10
Beverly Hills, 90210	10	1990–2000	10	12	Nine Yolks Whipped Lightly	22-Dec-1999	Christmas	https://www.imdb.com/title/tt0522875/?ref_=ttep_ep12
Beverly Hills, 90210	10	1990–2000	10	16	The Final Proof	9-Feb-2000	St. Valentine's Day	https://www.imdb.com/title/tt0522946/?ref_=ttep_ep16
Grey’s Anatomy	19	2005– 	2	9	Thanks for the Memories	20-Nov-2005	Thanksgiving	https://www.imdb.com/title/tt0592922/?ref_=ttep_ep9
Grey’s Anatomy	19	2005– 	2	12	Grandma Got Run Over By a Reindeer	11-Dec-2005	Christmas	https://www.imdb.com/title/tt0592908/?ref_=ttep_ep12
Grey’s Anatomy	19	2005– 	4	5	Haunt You Every Day	25-Oct-2007	Halloween	https://www.imdb.com/title/tt1002885/?ref_=ttep_ep5
Grey’s Anatomy	19	2005– 	6	10	Holidaze	19-Nov-2009	Christmas	https://www.imdb.com/title/tt1497727/?ref_=ttep_ep10
Grey’s Anatomy	19	2005– 	6	14	Valentine's Day Massacre	11-Feb-2010	St. Valentine's Day	https://www.imdb.com/title/tt1595404/?ref_=ttep_ep14
Grey’s Anatomy	19	2005– 	7	10	Adrift and at Peace	2-Dec-2010	Christmas	https://www.imdb.com/title/tt1782086/?ref_=ttep_ep10
Grey’s Anatomy	19	2005– 	8	14	All You Need Is Love	9-Feb-2012	St. Valentine's Day	https://www.imdb.com/title/tt2187687/?ref_=ttep_ep14
Grey’s Anatomy	19	2005– 	10	7	Thriller	31-Oct-2013	Halloween	https://www.imdb.com/title/tt3240812/?ref_=ttep_ep7
Grey’s Anatomy	19	2005– 	15	12	Girlfriend in a Coma	7-Feb-2019	St. Valentine's Day	https://www.imdb.com/title/tt9212382/?ref_=ttep_ep12
Grey’s Anatomy	19	2005– 	16	6	Whistlin' Past the Graveyard	31-Oct-2019	Halloween	https://www.imdb.com/title/tt11102922/?ref_=ttep_ep6
Grey’s Anatomy	19	2005– 	18	6	Every Day Is a Holiday (With You)	18-Nov-2021	Thanksgiving	https://www.imdb.com/title/tt15856270/?ref_=ttep_ep6
Grey’s Anatomy	19	2005– 	18	8	It Came Upon a Midnight Clear	16-Dec-2021	Christmas	https://www.imdb.com/title/tt16274400/?ref_=ttep_ep8
Grey’s Anatomy	19	2005– 	19	4	Haunted	27-Oct-2022	Halloween	https://www.imdb.com/title/tt22529692/?ref_=ttep_ep4
How I met your mother	9	2005–2014	1	6	The Slutty Pumpkin	24-Oct-2005	Halloween	https://www.imdb.com/title/tt0606116/?ref_=ttep_ep6
How I met your mother	9	2005–2014	1	9	Belly Full of Turkey	21-Nov-2005	Thanksgiving	https://www.imdb.com/title/tt0606104/?ref_=ttep_ep9
How I met your mother	9	2005–2014	1	11	The Limo	19-Dec-2005	Christmas	https://www.imdb.com/title/tt0606114/?ref_=ttep_ep11
How I met your mother	9	2005–2014	2	11	How Lily Stole Christmas	11-Dec-2006	Christmas	https://www.imdb.com/title/tt0904645/?ref_=ttep_ep11
How I met your mother	9	2005–2014	3	9	Slapsgiving	19-Nov-2007	Thanksgiving	https://www.imdb.com/title/tt1142665/?ref_=ttep_ep9
How I met your mother	9	2005–2014	4	11	Little Minnesota	15-Dec-2008	Christmas	https://www.imdb.com/title/tt1256172/?ref_=ttep_ep11
How I met your mother	9	2005–2014	5	9	Slapsgiving 2: Revenge of the Slap	23-Nov-2009	Thanksgiving	https://www.imdb.com/title/tt1541288/?ref_=ttep_ep9
How I met your mother	9	2005–2014	6	10	Blitzgiving	22-Nov-2010	Thanksgiving	https://www.imdb.com/title/tt1777828/?ref_=ttep_ep10
How I met your mother	9	2005–2014	6	12	False Positive	13-Dec-2010	Christmas	https://www.imdb.com/title/tt1778997/?ref_=ttep_ep12
How I met your mother	9	2005–2014	6	16	Desperation Day	14-Feb-2011	St. Valentine's Day	https://www.imdb.com/title/tt1795958/?ref_=ttep_ep16
How I met your mother	9	2005–2014	7	8	The Slutty Pumpkin Returns	31-Oct-2011	Halloween	https://www.imdb.com/title/tt2072526/?ref_=ttep_ep8
How I met your mother	9	2005–2014	7	11	The Rebound Girl	21-Nov-2011	Thanksgiving	https://www.imdb.com/title/tt2108075/?ref_=ttep_ep11
How I met your mother	9	2005–2014	7	12	Symphony of Illumination	5-Dec-2011	Christmas	https://www.imdb.com/title/tt2121966/?ref_=ttep_ep12
How I met your mother	9	2005–2014	8	11	The Final Page: Part One	17-Dec-2012	Christmas	https://www.imdb.com/title/tt2556002/?ref_=ttep_ep11
How I met your mother	9	2005–2014	8	12	The Final Page: Part Two	17-Dec-2012	Christmas	https://www.imdb.com/title/tt2556008/?ref_=ttep_ep12
Seinfeld	9	1989–1998	3	12	The Red Dot	11-Dec-1991	Christmas	https://www.imdb.com/title/tt0697765/?ref_=ttep_ep12
Seinfeld	9	1989–1998	4	12	The Pick	16-Dec-1992	Christmas	https://www.imdb.com/title/tt0697752/?ref_=ttep_ep13
Seinfeld	9	1989–1998	6	8	The Mom and Pop Store	17-Nov-1994	Thanksgiving	https://www.imdb.com/title/tt0697733/?ref_=ttep_ep8
Seinfeld	9	1989–1998	7	10	The Gum	14-Dec-1995	Christmas	https://www.imdb.com/title/tt0697705/?ref_=ttep_ep10
Seinfeld	9	1989–1998	8	10	The Andrea Doria	19-Dec-1996	Christmas	https://www.imdb.com/title/tt0697649/?ref_=ttep_ep10
Seinfeld	9	1989–1998	9	10	The Strike	18-Dec-1997	Christmas	https://www.imdb.com/title/tt0697790/?ref_=ttep_ep10
Two and a Half Men	12	2003–2015	1	10	Merry Thanksgiving	24-Nov-2003	Thanksgiving	https://www.imdb.com/title/tt0735168/?ref_=ttep_ep11
Two and a Half Men	12	2003–2015	3	6	Hi, Mr. Horned One	24-Oct-2005	Halloween	https://www.imdb.com/title/tt0735157/?ref_=ttep_ep6
Two and a Half Men	12	2003–2015	3	11	Santa's Village of the Damned	19-Dec-2005	Christmas	https://www.imdb.com/title/tt0735175/?ref_=ttep_ep11
Two and a Half Men	12	2003–2015	4	11	Walnuts and Demerol	11-Dec-2006	Christmas	https://www.imdb.com/title/tt0908937/?ref_=ttep_ep11
Two and a Half Men	12	2003–2015	6	15	I'd Like to Start with the Cat	9-Feb-2009	St. Valentine's Day	https://www.imdb.com/title/tt1256406/?ref_=ttep_ep15
Two and a Half Men	12	2003–2015	7	11	Warning, It's Dirty	14-Dec-2009	Christmas	https://www.imdb.com/title/tt1558558/?ref_=ttep_ep11
Two and a Half Men	12	2003–2015	9	12	One False Move, Zimbabwe!	12-Dec-2011	Christmas	https://www.imdb.com/title/tt2133074/?ref_=ttep_ep12
Two and a Half Men	12	2003–2015	9	16	Sips, Sonnets and Sodomy	13-Feb-2012	St. Valentine's Day	https://www.imdb.com/title/tt2214415/?ref_=ttep_ep16
Two and a Half Men	12	2003–2015	10	11	Give Santa a Tail-Hole	13-Dec-2012	Christmas	https://www.imdb.com/title/tt2545360/?ref_=ttep_ep11
Two and a Half Men	12	2003–2015	10	16	Advantage: Fat, Flying Baby	14-Feb-2013	St. Valentine's Day	https://www.imdb.com/title/tt2710722/?ref_=ttep_ep16
Two and a Half Men	12	2003–2015	11	10	On Vodka, on Soda, on Blender, on Mixer!	12-Dec-2013	Christmas	https://www.imdb.com/title/tt3345456/?ref_=ttep_ep10
Two and a Half Men	12	2003–2015	12	1	The Ol' Mexican Spinach	30-Oct-2014	Halloween	https://www.imdb.com/title/tt3596118/?ref_=ttep_ep1
Two and a Half Men	12	2003–2015	12	8	Family, Buble, Deep-Fried Turkey	18-Dec-2014	Christmas	https://www.imdb.com/title/tt4281928/?ref_=ttep_ep8
It's Always Sunny in Philadelphia	18	2005– 	6	7	Who Got Dee Pregnant?	28-Oct-2010	Halloween	https://www.imdb.com/title/tt1636180/?ref_=ttep_ep7
It's Always Sunny in Philadelphia	18	2005– 	6	13	A Very Sunny Christmas	9-Dec-2010	Christmas	https://www.imdb.com/title/tt1478620/?ref_=ttep_ep13
It's Always Sunny in Philadelphia	18	2005– 	8	3	The Maureen Ponderosa Wedding Massacre	25-Oct-2012	Halloween	https://www.imdb.com/title/tt2377298/?ref_=ttep_ep3
It's Always Sunny in Philadelphia	18	2005– 	9	10	The Gang Squashes Their Beefs	6-Nov-2013	Thanksgiving	https://www.imdb.com/title/tt3247686/?ref_=ttep_ep10
It's Always Sunny in Philadelphia	18	2005– 	14	6	The Janitor Always Mops Twice	30-Oct-2019	Halloween	https://www.imdb.com/title/tt6362512/?ref_=ttep_ep6
Six Feet Under	5	2001–2005	2	8	It's the Most Wonderful Time of the Year	21-Apr-2002	Christmas	https://www.imdb.com/title/tt0702020/?ref_=ttep_ep8
Brooklyn Nine-Nine	8	2013–2021	1	6	Halloween	22-Oct-2013	Halloween	https://www.imdb.com/title/tt3176582/?ref_=ttep_ep6
Brooklyn Nine-Nine	8	2013–2021	1	10	Thanksgiving	26-Nov-2013	Thanksgiving	https://www.imdb.com/title/tt3267804/?ref_=ttep_ep10
Brooklyn Nine-Nine	8	2013–2021	1	11	Christmas Comes This Time Each Year	3-Dec-2013	Christmas	https://www.imdb.com/title/tt3277264/?ref_=ttep_ep11
Brooklyn Nine-Nine	8	2013–2021	2	4	Halloween II	19-Oct-2014	Halloween	https://www.imdb.com/title/tt3920290/?ref_=ttep_ep4
Brooklyn Nine-Nine	8	2013–2021	2	7	Lockdown	16-Nov-2014	Thanksgiving	https://www.imdb.com/title/tt4135098/?ref_=ttep_ep7
Brooklyn Nine-Nine	8	2013–2021	2	10	The Pontiac Bandit Returns	7-Dec-2014	Christmas	https://www.imdb.com/title/tt4195086/?ref_=ttep_ep10
Brooklyn Nine-Nine	8	2013–2021	3	5	Halloween III	25-Oct-2015	Halloween	https://www.imdb.com/title/tt4371304/?ref_=ttep_ep5
Brooklyn Nine-Nine	8	2013–2021	3	10	Yippie Kayak	13-Dec-2015	Christmas	https://www.imdb.com/title/tt4371314/?ref_=ttep_ep10
Brooklyn Nine-Nine	8	2013–2021	4	5	Halloween IV	18-Oct-2016	Halloween	https://www.imdb.com/title/tt6108218/?ref_=ttep_ep5
Brooklyn Nine-Nine	8	2013–2021	4	7	Mr. Santiago	22-Nov-2016	Thanksgiving	https://www.imdb.com/title/tt6213872/?ref_=ttep_ep7
Brooklyn Nine-Nine	8	2013–2021	4	10	Captain Latvia	13-Dec-2016	Christmas	https://www.imdb.com/title/tt6249350/?ref_=ttep_ep10
Brooklyn Nine-Nine	8	2013–2021	5	4	HalloVeen	17-Oct-2017	Halloween	https://www.imdb.com/title/tt7233026/?ref_=ttep_ep4
Brooklyn Nine-Nine	8	2013–2021	5	7	Two Turkeys	21-Nov-2017	Thanksgiving	https://www.imdb.com/title/tt7604970/?ref_=ttep_ep7
Gilmore Girls	7	2000–2007	1	10	Forgiveness and Stuff	21-Dec-2000	Christmas	https://www.imdb.com/title/tt0588141/?ref_=ttep_ep11
Gilmore Girls	7	2000–2007	2	10	The Bracebridge Dinner	11-Dec-2001	Christmas	https://www.imdb.com/title/tt0588200/?ref_=ttep_ep10
Gilmore Girls	7	2000–2007	3	9	A Deep Fried Korean Thanksgiving	26-Nov-2002	Thanksgiving	https://www.imdb.com/title/tt0588112/?ref_=ttep_ep9
Gilmore Girls	7	2000–2007	6	10	He's Slippin' 'Em Bread... Dig?	22-Nov-2005	Thanksgiving	https://www.imdb.com/title/tt0588146/?ref_=ttep_ep10
Gilmore Girls	7	2000–2007	6	15	A Vineyard Valentine	14-Feb-2006	St. Valentine's Day	https://www.imdb.com/title/tt0757486/?ref_=ttep_ep15
Gilmore Girls	7	2000–2007	7	10	Merry Fisticuffs	5-Dec-2006	Christmas	https://www.imdb.com/title/tt0894094/?ref_=ttep_ep10
Gilmore Girls	7	2000–2007	7	11	Santa's Secret Stuff	23-Jan-2007	Christmas	https://www.imdb.com/title/tt0901985/?ref_=ttep_ep11
The X-files	11	1993–2018	1	7	Ghost in the Machine	29-Oct-1993	Halloween	https://www.imdb.com/title/tt0751131/?ref_=ttep_ep7
The X-files	11	1993–2018	5	6	Christmas Carol	7-Dec-1997	Christmas	https://www.imdb.com/title/tt0751090/?ref_=ttep_ep6
The X-files	11	1993–2018	6	6	How the Ghosts Stole Christmas	13-Dec-1998	Christmas	https://www.imdb.com/title/tt0751138/?ref_=ttep_ep6
This Is Us	6	2016–2022	1	8	Pilgrim Rick	22-Nov-2016	Thanksgiving	https://www.imdb.com/title/tt6072390/?ref_=ttep_ep8
This Is Us	6	2016–2022	1	10	Last Christmas	6-Dec-2016	Christmas	https://www.imdb.com/title/tt6115034/?ref_=ttep_ep10
This Is Us	6	2016–2022	1	15	Jack Pearson's Son	14-Feb-2017	St. Valentine's Day	https://www.imdb.com/title/tt6142664/?ref_=ttep_ep15
This Is Us	6	2016–2022	2	6	The 20's	31-Oct-2017	Halloween	https://www.imdb.com/title/tt6439858/?ref_=ttep_ep6
This Is Us	6	2016–2022	3	8	Six Thanksgivings	20-Nov-2018	Thanksgiving	https://www.imdb.com/title/tt6439886/?ref_=ttep_ep8
This Is Us	6	2016–2022	4	9	So Long, Marianne	19-Nov-2019	Thanksgiving	https://www.imdb.com/title/tt10322318/?ref_=ttep_ep9
This Is Us	6	2016–2022	6	7	Taboo	8-Mar-2022	Thanksgiving	https://www.imdb.com/title/tt17073768/?ref_=ttep_ep7
Happy Days	11	1974–1984	2	6	Haunted	29-Oct-1974	Halloween	https://www.imdb.com/title/tt0596226/?ref_=ttep_ep6
Happy Days	11	1974–1984	2	11	Guess Who's Coming to Christmas	17-Dec-1974	Christmas	https://www.imdb.com/title/tt0596222/?ref_=ttep_ep11
Happy Days	11	1974–1984	5	6	Fonsillectomy	25-Oct-1977	Halloween	https://www.imdb.com/title/tt0596182/?ref_=ttep_ep6
Happy Days	11	1974–1984	5	20	Be My Valentine	14-Feb-1978	St. Valentine's Day	https://www.imdb.com/title/tt0596155/?ref_=ttep_ep20
Happy Days	11	1974–1984	6	9	The Evil Eye	31-Oct-1978	Halloween	https://www.imdb.com/title/tt0596328/?ref_=ttep_ep9
Happy Days	11	1974–1984	6	12	The First Thanksgiving	21-Nov-1978	Thanksgiving	https://www.imdb.com/title/tt0793881/?ref_=ttep_ep12
Happy Days	11	1974–1984	6	16	Christmas Time	19-Dec-1978	Christmas	https://www.imdb.com/title/tt0596171/?ref_=ttep_ep16
Happy Days	11	1974–1984	8	6	White Christmas	16-Dec-1980	Christmas	https://www.imdb.com/title/tt0793885/?ref_=ttep_ep6
Happy Days	11	1974–1984	10	10	All I Want for Christmas	14-Dec-1982	Christmas	https://www.imdb.com/title/tt0596147/?ref_=ttep_ep10
The Golden Girls	7	1985–1992	2	11	Twas the Nightmare Before Christmas	20-Dec-1986	Christmas	https://www.imdb.com/title/tt0589703/?ref_=ttep_ep11
The Golden Girls	7	1985–1992	4	15	Valentine's Day	11-Feb-1989	St. Valentine's Day	https://www.imdb.com/title/tt0589867/?ref_=ttep_ep15
The Golden Girls	7	1985–1992	5	12	Have Yourself a Very Little Christmas	16-Dec-1989	Christmas	https://www.imdb.com/title/tt0589756/?ref_=ttep_ep12
Murder, She Wrote	12	1984–1996	9	9	A Christmas Secret	13-Dec-1992	Christmas	https://www.imdb.com/title/tt0653442/?ref_=ttep_ep9
Ted Lasso	2	2020–	2	4	Carol of the Bells	13-Aug-2021	Christmas	https://www.imdb.com/title/tt14968638/?ref_=ttep_ep4
Glee	6	2009–2015	2	5	The Rocky Horror Glee Show	26-Oct-2010	Halloween	https://www.imdb.com/title/tt1628295/?ref_=ttep_ep5
Glee	6	2009–2015	2	10	A Very Glee Christmas	7-Dec-2010	Christmas	https://www.imdb.com/title/tt1628280/?ref_=ttep_ep10
Glee	6	2009–2015	2	12	Silly Love Songs	8-Feb-2011	St. Valentine's Day	https://www.imdb.com/title/tt1628281/?ref_=ttep_ep12
Glee	6	2009–2015	3	9	Extraordinary Merry Christmas	13-Dec-2011	Christmas	https://www.imdb.com/title/tt2001513/?ref_=ttep_ep9
Glee	6	2009–2015	3	13	Heart	14-Feb-2012	St. Valentine's Day	https://www.imdb.com/title/tt2001496/?ref_=ttep_ep13
Glee	6	2009–2015	4	8	Thanksgiving	29-Nov-2012	Thanksgiving	https://www.imdb.com/title/tt2403621/?ref_=ttep_ep8
Glee	6	2009–2015	4	10	Glee, Actually	13-Dec-2012	Christmas	https://www.imdb.com/title/tt2403583/?ref_=ttep_ep10
Glee	6	2009–2015	4	14	I Do	14-Feb-2013	St. Valentine's Day	https://www.imdb.com/title/tt2403591/?ref_=ttep_ep14
Glee	6	2009–2015	5	8	Previously Unaired Christmas	5-Dec-2013	Christmas	https://www.imdb.com/title/tt3314390/?ref_=ttep_ep8
Buffy the Vampire Slayer	7	1997–2003	2	6	Halloween	27-Oct-1997	Halloween	https://www.imdb.com/title/tt0533437/?ref_=ttep_ep6
Buffy the Vampire Slayer	7	1997–2003	2	16	Bewitched, Bothered and Bewildered	10-Feb-1998	St. Valentine's Day	https://www.imdb.com/title/tt0533401/?ref_=ttep_ep16
Buffy the Vampire Slayer	7	1997–2003	3	10	Amends	15-Dec-1998	Christmas	https://www.imdb.com/title/tt0533387/?ref_=ttep_ep10
Buffy the Vampire Slayer	7	1997–2003	4	4	Fear Itself	26-Oct-1999	Halloween	https://www.imdb.com/title/tt0533424/?ref_=ttep_ep4
Buffy the Vampire Slayer	7	1997–2003	4	8	Pangs	23-Nov-1999	Thanksgiving	https://www.imdb.com/title/tt0533469/?ref_=ttep_ep8
